"0x8b0890","Chapter Number Pointer","Object Type","Palette","Tile Configuration","Map","Tile Animation 1","Tile Animation 2","Triggerable Map Changes","Fog of War sight level (0 = No fog)","Battle Preparations","Save Menu Chapter Name","Always Zero","Unknown","Unknown","Weather Condition","Battle tileset","Hard Mode Bonus levels (top nibble only)","Byte 22","Player Phase music","Enemy Phase music","NPC Phase music","##UNKNOWN##","Player Phase music 2","Enemy Phase music 2","NPC Phase music 2","##UNKNOWN##","Destructible Walls HP","##UNKNOWN##","Byte 62","Byte 63","Byte 64","Byte 65","Byte 66","Byte 67","##UNKNOWN##","Event Data Reference","Worldmap Chapter Prologue Scene","##UNKNOWN##","Prep Screen Chapter Number (multiply by 2, e.g. Ch 2x = 2.5*2 = 5)","##UNKNOWN##","No. of enemies left for Grasping at Victory","Chapter Title Display Fade-out","Status - Objective Text","Goal Window Text","Goal Window Information","Turns to count down to +1","Protect Character Marker","Tile Marker - X-Coordinate","Tile Marker - Y-Coordinate","##UNKNOWN##"
"Hub","0x81c32c8","0x1","0x2","0x3","0x4","0x5","0x0","0x6",0,0,"0x0","0x0","0x1","0x0",0,"0x0","0x10","0x0","0x9","0x13","0x13","0x1300130009","0x9","0xffff","0xb","0xffffffff",50,"0x8080808070707070606060605050505","0x0","0x64","0x0","0x64","0x0","0x64","0x16001600000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400","0x7","0x1","0x0",0,"0xffff00",1,"0x1","0x19D","0x19D","0x0",0,"0x0",255,0,"0x1d"
"Ep1","0x81c32cc","0x1","0x2","0x3","0x8","0x5","0x0","0x9",0,0,"0x1","0x0","0x1","0x0",0,"0x0","0x10","0x0","0x14","0x13","0xf","0xf00130009","0xffff","0xffff","0xb","0xffffffff",50,"0x8080808070707070606060605050505","0x0","0x64","0x0","0x64","0x0","0x64","0x16101610000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400","0xa","0x2","0x0",2,"0xffff00",1,"0x1","0x19D","0x19D","0x0",0,"0x0",255,0,"0x18"
"Ep2","0x81c32d0","0x1","0x2","0x3","0xb","0x5","0x0","0xc",0,0,"0x2","0x0","0x1","0x0",0,"0x0","0x24","0x2","0x9","0x13","0xf","0xf00130009","0xffff","0xffff","0xb","0xffffffff",50,"0x8080808070707070606060605050505","0x0","0x64","0x0","0x64","0x0","0x64","0x16201620000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400","0xd","0x3","0x0",4,"0xffff00",1,"0x1","0x19F","0x19F","0x0",0,"0x0",255,0,"0x3"
"Ep3","0x81c32d4","0xe","0xf","0x10","0x11","0x12","0x0","0x13",0,0,"0x3","0x0","0x8","0xa",0,"0x5","0x24","0x2","0x11","0x13","0xf","0xf00130009","0xffff","0xffff","0xb","0xffffffff",25,"0x8080808070707070606060605050505","0x0","0x64","0x0","0x64","0x0","0x64","0x16301630000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400","0x14","0x4","0x0",6,"0xffff00",1,"0x1","0x19E","0x19E","0x1",0,"0x0",255,0,"0x28"
"Ep4","0x81c32d8","0x1","0x2","0x3","0x15","0x5","0x0","0x16",0,0,"0x4","0x0","0x1","0x0",0,"0x0","0x34","0x2","0x12","0x13","0xf","0xf00130009","0xffff","0xffff","0xb","0xffffffff",50,"0x8080808070707070606060605050505","0x0","0x64","0x0","0x64","0x0","0x64","0x16401640000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400","0x17","0x5","0x0",8,"0xffff00",1,"0x1","Episode4GoalText","Episode4GoalText","0x0",0,"Nyna",255,0,"0x18"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
